gid,year,cctv,light,log_pa,ep,fp,yp,log_nb
木夭丑友什58ab30ba,-0.133333333,-0.5,-0.5,2.098017927,-0.316027088,-0.33122807,-0.323076923,0.693147181
木夭丑友什58bb30ab,1.933333333,-0.5,-0.5,2.050012731,-0.343115124,-0.341052632,-0.323076923,0.693147181
木夭丑友什59aa30aa,1,-0.5,-0.5,2.050012731,-0.343115124,-0.341052632,-0.323076923,0.693147181
木夭丑友什59aa30ab,1.6,-0.5,-0.5,2.050012731,-0.343115124,-0.341052632,-0.323076923,1.098612289
木夭丑友什59ab30aa,4.133333333,0,0,1.930071085,-0.343115124,-0.341052632,-0.323076923,1.098612289
木夭丑友什59ab30ab,1.4,-0.5,-0.5,1.930071085,-0.343115124,-0.341052632,-0.323076923,0.693147181
木夭丑友什59ba30aa,-1.533333333,-0.5,-0.5,1.846721027,-0.343115124,-0.341052632,-0.323076923,2.63905733
木夭丑友什59ba30bb,-0.333333333,-0.5,-0.5,1.5847353,-0.180586907,-0.303157895,-0.323076923,2.079441542
木夭丑友什59ba31ab,0.533333333,-0.5,-0.5,1.455120552,-0.343115124,-0.332631579,-0.323076923,1.609437912
木夭丑友什59bb29bb,-0.6,-0.5,-0.5,1.878090059,-0.343115124,-0.341052632,-0.323076923,1.386294361
木夭丑友什59bb30ba,-0.133333333,-0.5,-0.5,1.614425454,-0.30248307,-0.315789474,-0.276923077,2.397895273
木夭丑友什59bb30bb,-0.4,-0.5,-0.5,1.426476151,-0.311512415,-0.33122807,-0.323076923,1.386294361
木夭丑友什59bb31aa,-0.266666667,-0.5,-0.5,1.374474784,-0.343115124,-0.329824561,-0.323076923,2.63905733
木夭丑友什59bb31ab,0.4,-0.5,-0.5,1.393269975,-0.343115124,-0.329824561,-0.323076923,2.63905733
木夭丑友什59bb31ba,2.8,-0.5,-0.5,1.393269975,-0.343115124,-0.341052632,-0.323076923,1.386294361
木夭丑友什59bb32bb,-0.133333333,-0.5,-0.5,1.087888325,-0.343115124,-0.341052632,-0.323076923,1.386294361
木夭丑友什60aa29ba,-0.133333333,-0.5,-0.5,1.949475215,-0.343115124,-0.341052632,-0.323076923,1.386294361
木夭丑友什60aa29bb,-0.4,-0.5,-0.5,1.846721027,-0.306997743,-0.33122807,-0.323076923,3.218875825
木夭丑友什60aa30aa,-0.466666667,-0.5,-0.5,1.846721027,-0.343115124,-0.341052632,-0.323076923,2.079441542
木夭丑友什60aa30ab,-0.133333333,-0.5,-0.5,1.614425454,-0.343115124,-0.341052632,-0.323076923,0.693147181
木夭丑友什60aa31bb,0,-0.5,-0.5,1.310492648,-0.343115124,-0.341052632,-0.323076923,0
木夭丑友什60aa32ba,-0.4,-0.5,-0.5,1.022810575,-0.343115124,-0.341052632,-0.323076923,0
木夭丑友什60aa32bb,1.066666667,0,0,1.087888325,-0.343115124,-0.341052632,-0.323076923,0
木夭丑友什60ab29ba,-0.2,-0.5,-0.5,1.717574571,-0.311512415,-0.322807018,-0.323076923,2.397895273
木夭丑友什60ab29bb,-0.333333333,-0.5,-0.5,1.784063263,-0.343115124,-0.341052632,-0.323076923,1.386294361
木夭丑友什60ab32bb,0.2,-0.5,-0.5,1.0595249,-0.343115124,-0.341052632,-0.323076923,2.63905733
木夭丑友什60ba29ab,2.133333333,-0.5,-0.5,1.717574571,-0.343115124,-0.341052632,-0.323076923,0
木夭丑友什60ba32ba,-0.333333333,-0.5,-0.5,1.716317274,-0.248306998,-0.263859649,-0.323076923,2.63905733
木夭丑友什60ba32bb,0.866666667,-0.5,-0.5,0.762673243,-0.343115124,-0.328421053,-0.323076923,1.098612289
木夭丑友什60bb29aa,0.466666667,0,0,1.662978679,-0.343115124,-0.341052632,-0.323076923,1.386294361
木夭丑友什60bb29ab,-0.466666667,0,0,1.558775998,-0.221218962,-0.248421053,-0.253846154,2.995732274
木夭丑友什60bb32ab,-0.4,-0.5,-0.5,1.716317274,-0.343115124,-0.341052632,-0.323076923,1.098612289
木夭丑友什60bb32ba,-0.533333333,-0.5,-0.5,1.716317274,0.076749436,0.014035088,0.069230769,3.988984047
木夭丑友什60bb32bb,-1.133333333,-0.5,-0.5,2.281872051,-0.288939052,-0.18245614,-0.061538462,2.772588722
木夭丑友什61aa29aa,-0.066666667,-0.5,-0.5,1.662978679,-0.343115124,-0.341052632,-0.323076923,1.098612289
木夭丑友什61aa29ab,-0.266666667,-0.5,-0.5,1.558775998,-0.343115124,-0.311578947,-0.246153846,1.945910149
木夭丑友什61aa30bb,4.8,-0.5,-0.5,1.463255402,-0.343115124,-0.341052632,-0.323076923,1.098612289
木夭丑友什61aa32ab,-0.133333333,-0.5,-0.5,0.408792898,-0.343115124,-0.341052632,-0.323076923,0.693147181
木夭丑友什61aa32ba,-0.666666667,0,0,0.408792898,-0.0496614,-0.028070175,-0.015384615,3.713572067
木夭丑友什61aa32bb,-0.8,-0.5,-0.5,0.408792898,-0.216704289,-0.188070175,-0.146153846,3.091042453
木夭丑友什61ab32ab,-1.2,0,0,0.408792898,-0.180586907,0.067368421,0.338461538,0
木夭丑友什61ab32ba,-0.933333333,2.5,2.5,0.408792898,-0.279909707,-0.247017544,-0.207692308,3.761200116
木夭丑友什61ab32bb,-0.666666667,0,0,0.408792898,-0.139954853,-0.105263158,0.023076923,2.197224577
木夭丑友什61ba29aa,0.733333333,-0.5,-0.5,1.428635202,-0.343115124,-0.341052632,-0.323076923,1.098612289
木夭丑友什61ba32ab,-0.866666667,0.5,0.5,0.408792898,-0.30248307,-0.220350877,-0.123076923,3.555348061
木夭丑友什61ba32ba,-0.8,4,4,0.629141851,-0.216704289,-0.179649123,-0.038461538,3.970291914
木夭丑友什61ba32bb,-0.666666667,0,0,0.629141851,-0.230248307,-0.186666667,-0.1,1.609437912
木夭丑友什61ba36ab,0.266666667,-0.5,-0.5,1.675600115,-0.297968397,-0.317192982,-0.323076923,2.302585093
木夭丑友什61bb31bb,-0.6,-0.5,-0.5,0.332177312,-0.248306998,-0.230175439,-0.215384615,0
木夭丑友什61bb32ab,-0.866666667,1.5,1.5,2.035097728,-0.207674944,-0.070175439,0.330769231,3.33220451
木夭丑友什61bb32ba,-0.8,3.5,3.5,0.629141851,-0.022573363,0.092631579,0.492307692,4.127134385
木夭丑友什61bb32bb,-0.666666667,-0.5,-0.5,0.629141851,-0.176072235,-0.202105263,-0.123076923,1.609437912
木夭丑友什61bb36ab,-0.4,-0.5,-0.5,1.490654376,-0.121896163,-0.234385965,-0.323076923,3.433987204
木夭丑友什61bb36ba,-0.266666667,-0.5,-0.5,1.490654376,-0.221218962,-0.252631579,-0.323076923,3.465735903
木夭丑友什62aa31ba,-0.6,0.5,0.5,0.332177312,-0.176072235,-0.200701754,-0.192307692,0.693147181
木夭丑友什62aa31bb,-0.6,-0.5,-0.5,0.332177312,1.205417607,1.037192982,1.407692308,2.63905733
木夭丑友什62aa32aa,-0.6,2,2,0.037295785,0.681715576,0.919298246,1.807692308,2.079441542
木夭丑友什62aa32ab,-0.6,1.5,1.5,-0.644357016,0.501128668,0.696140351,1.1,2.995732274
木夭丑友什62aa32ba,-0.533333333,0.5,0.5,0.629141851,0.18510158,0.398596491,0.976923077,2.708050201
木夭丑友什62aa32bb,-0.6,1.5,1.5,2.900102043,-0.004514673,0.38877193,1.107692308,2.944438979
木夭丑友什62aa33bb,0.866666667,-0.5,-0.5,1.15750993,-0.343115124,-0.341052632,-0.323076923,0.693147181
木夭丑友什62aa34ab,-0.266666667,-0.5,-0.5,1.682316558,-0.343115124,-0.341052632,-0.323076923,2.397895273
木夭丑友什62aa36ab,-0.2,0,0,1.490654376,-0.279909707,-0.291929825,-0.323076923,2.833213344
木夭丑友什62aa36ba,-0.333333333,0.5,0.5,1.490654376,-0.243792325,-0.280701754,-0.323076923,3.135494216
木夭丑友什62aa36bb,-0.266666667,0.5,0.5,1.419003536,-0.316027088,-0.324210526,-0.323076923,3.135494216
木夭丑友什62aa37aa,-0.466666667,-0.5,-0.5,1.446448284,-0.266365688,-0.296140351,-0.269230769,2.48490665
木夭丑友什62ab28ab,1,-0.5,-0.5,1.532124809,-0.316027088,-0.33122807,-0.323076923,0.693147181
木夭丑友什62ab30ab,-0.733333333,-0.5,-0.5,1.125578737,-0.343115124,-0.327017544,-0.323076923,2.079441542
木夭丑友什62ab30ba,-0.866666667,-0.5,-0.5,1.116779593,-0.311512415,-0.324210526,-0.323076923,2.197224577
木夭丑友什62ab31ba,-0.533333333,-0.5,-0.5,0.332177312,0.081264108,-0.019649123,0.038461538,2.772588722
木夭丑友什62ab31bb,-0.666666667,0,0,-0.114289146,0.130925508,0.015438596,0.169230769,1.098612289
木夭丑友什62ab32aa,-0.6,0.5,0.5,-0.114289146,0.207674944,0.401403509,0.846153846,1.945910149
木夭丑友什62ab32ab,-0.6,0,0,-0.114289146,0.374717833,0.593684211,1.292307692,3.17805383
木夭丑友什62ab32ba,-0.6,1.5,1.5,-0.644357016,0.306997743,0.610526316,1.246153846,3.36729583
木夭丑友什62ab32bb,-0.6,1.5,1.5,2.900102043,0.018058691,0.175438596,0.292307692,2.197224577
木夭丑友什62ab33bb,-0.666666667,-0.5,-0.5,1.15750993,-0.343115124,-0.341052632,-0.323076923,0
木夭丑友什62ab34ab,0,-0.5,-0.5,1.652497402,-0.343115124,-0.341052632,-0.323076923,2.302585093
木夭丑友什62ab35ba,-1.533333333,-0.5,-0.5,1.585759785,-0.343115124,-0.341052632,-0.323076923,2.63905733
木夭丑友什62ab35bb,-0.066666667,-0.5,-0.5,1.585759785,-0.343115124,-0.341052632,-0.323076923,0
木夭丑友什62ab36ab,-1.133333333,-0.5,-0.5,1.898668785,-0.343115124,-0.341052632,-0.323076923,1.098612289
木夭丑友什62ab36bb,0.6,-0.5,-0.5,1.419003536,-0.343115124,-0.341052632,-0.323076923,1.791759469
木夭丑友什62ab37aa,0.4,-0.5,-0.5,1.446448284,-0.257336343,-0.29754386,-0.323076923,2.890371758
木夭丑友什62ba28ab,0.2,-0.5,-0.5,1.695615609,-0.343115124,-0.341052632,-0.323076923,1.386294361
木夭丑友什62ba30ab,-1.133333333,-0.5,-0.5,1.08146613,-0.343115124,-0.341052632,-0.323076923,0
木夭丑友什62ba30ba,-0.866666667,-0.5,-0.5,1.116779593,-0.279909707,-0.317192982,-0.323076923,2.397895273
木夭丑友什62ba30bb,-1,-0.5,-0.5,1.116779593,-0.343115124,-0.325614035,-0.323076923,2.48490665
木夭丑友什62ba31aa,-0.466666667,-0.5,-0.5,1.116779593,-0.297968397,-0.32,-0.323076923,2.197224577
木夭丑友什62ba32ab,-0.666666667,2,2,-0.114289146,-0.198645598,-0.05754386,0.361538462,3.044522438
木夭丑友什62ba32ba,-0.666666667,5,5,-0.644357016,0.022573363,0.028070175,0.053846154,4.317488114
木夭丑友什62ba32bb,-0.8,5,5,2.900102043,0.112866817,0.065964912,0.053846154,4.158883083
木夭丑友什62ba33aa,-0.666666667,1.5,1.5,2.900102043,-0.225733634,-0.255438596,-0.230769231,1.609437912
木夭丑友什62ba34ba,-0.2,-0.5,-0.5,1.652497402,-0.343115124,-0.341052632,-0.323076923,0.693147181
木夭丑友什62ba35ab,-0.8,-0.5,-0.5,1.585759785,-0.279909707,-0.286315789,-0.323076923,2.833213344
木夭丑友什62ba35ba,0.133333333,0,0,1.585759785,-0.270880361,-0.311578947,-0.323076923,2.995732274
木夭丑友什62ba35bb,-0.533333333,-0.5,-0.5,1.585759785,-0.343115124,-0.341052632,-0.323076923,1.098612289
木夭丑友什62bb28aa,1,-0.5,-0.5,1.058484498,-0.306997743,-0.321403509,-0.323076923,2.48490665
木夭丑友什62bb28ab,0.866666667,-0.5,-0.5,1.029262211,-0.343115124,-0.341052632,-0.323076923,1.098612289
